"","state","Murder","Assault","UrbanPop","Rape"
"1","alabama",13.2,236,58,21.2
"2","alaska",10,263,48,44.5
"3","arizona",8.1,294,80,31
"4","arkansas",8.8,190,50,19.5
"5","california",9,276,91,40.6
"6","colorado",7.9,204,78,38.7
"7","connecticut",3.3,110,77,11.1
"8","delaware",5.9,238,72,15.8
"9","florida",15.4,335,80,31.9
"10","georgia",17.4,211,60,25.8
"11","hawaii",5.3,46,83,20.2
"12","idaho",2.6,120,54,14.2
"13","illinois",10.4,249,83,24
"14","indiana",7.2,113,65,21
"15","iowa",2.2,56,57,11.3
"16","kansas",6,115,66,18
"17","kentucky",9.7,109,52,16.3
"18","louisiana",15.4,249,66,22.2
"19","maine",2.1,83,51,7.8
"20","maryland",11.3,300,67,27.8
"21","massachusetts",4.4,149,85,16.3
"22","michigan",12.1,255,74,35.1
"23","minnesota",2.7,72,66,14.9
"24","mississippi",16.1,259,44,17.1
"25","missouri",9,178,70,28.2
"26","montana",6,109,53,16.4
"27","nebraska",4.3,102,62,16.5
"28","nevada",12.2,252,81,46
"29","new hampshire",2.1,57,56,9.5
"30","new jersey",7.4,159,89,18.8
"31","new mexico",11.4,285,70,32.1
"32","new york",11.1,254,86,26.1
"33","north carolina",13,337,45,16.1
"34","north dakota",0.8,45,44,7.3
"35","ohio",7.3,120,75,21.4
"36","oklahoma",6.6,151,68,20
"37","oregon",4.9,159,67,29.3
"38","pennsylvania",6.3,106,72,14.9
"39","rhode island",3.4,174,87,8.3
"40","south carolina",14.4,279,48,22.5
"41","south dakota",3.8,86,45,12.8
"42","tennessee",13.2,188,59,26.9
"43","texas",12.7,201,80,25.5
"44","utah",3.2,120,80,22.9
"45","vermont",2.2,48,32,11.2
"46","virginia",8.5,156,63,20.7
"47","washington",4,145,73,26.2
"48","west virginia",5.7,81,39,9.3
"49","wisconsin",2.6,53,66,10.8
"50","wyoming",6.8,161,60,15.6
